molecule,concentration
B,20000
Q,6000
R,800
R,2000
R,10000
B,500
A,1600
Q,1000
R,1600
A,1400
B,1000
R,1000
Q,7000
Q,3000
R,4000
B,25000
Q,4000
Q,8000
A,2000
R,3000
A,5000
A,2000
A,400
A,800
B,1000
A,400
Q,5000
A,600
Q,2000
Q,4000
Q,5000
Q,4000
R,400
A,1400
A,600
A,1600
R,1000
R,5000
R,1600
R,800
Q,6000
B,500
B,20000
B,1500
R,400
B,10000
Q,2000
Q,1000
B,1000
B,4000
A,1600
A,1400
Q,10000
Q,7000
Q,7000
Q,8000
Q,1000
R,3000
Q,2000
B,10000
B,2000
A,300
R,10000
Q,2000
Q,8000
B,4000
B,2000
Q,1000
A,1600
A,400
A,600
A,10000
A,10000
A,5000
B,4000
R,2000
Q,2000
R,5000
Q,7000
B,1500
Q,6000
B,20000
R,4000
Q,2000
R,800
Q,6000
R,10000
R,1600
Q,1000
A,2000
Q,6000
Q,10000
R,4000
B,1000
B,5000
R,4000
B,500
R,800
B,500
B,25000
R,1000
R,3000
Q,3000
B,4000
B,25000
Q,8000
B,5000
Q,9000
A,400
Q,1000
Q,1000
Q,5000
R,10000
R,4000
B,1500
B,10000
B,5000
Q,5000
B,5000
A,800
Q,8000
Q,5000
A,5000
A,5000
Q,8000
A,400
Q,6000
B,20000
B,5000
A,1400
R,800
A,10000
B,25000
A,1000
A,800
B,20000
A,600
R,3000
R,1000
Q,3000
B,2000
A,1000
R,2000
A,300
R,1200
R,4000
A,5000
A,1400
B,5000
A,5000
R,1600
B,7000
Q,10000
R,1600
R,800
Q,10000
R,3000
Q,3000
R,2000
A,5000
A,300
Q,7000
B,500
B,4000
B,25000
A,1400
R,5000
A,5000
B,1500
B,2000
Q,1000
B,1000
Q,7000
R,10000
Q,10000
R,1600
A,600
A,400
R,3000
B,1500
A,400
A,600
R,800
B,10000
Q,3000
R,5000
B,10000
Q,9000
A,2000
R,400
Q,5000
Q,5000
R,1000
B,4000
B,1500
Q,10000
A,300
B,1500
B,25000
A,800
B,5000
Q,1000
R,3000
B,20000
A,2000
Q,1000
A,2000
R,3000
Q,2000
R,800
Q,6000
A,2000
Q,8000
A,1000
Q,7000
B,7000
B,25000
B,4000
B,20000
Q,10000
A,400
A,10000
B,20000
A,1000
R,2000
Q,7000
A,300
B,2000
R,4000
A,600
B,500
B,20000
A,800
R,4000
B,1000
B,4000
B,7000
B,25000
B,10000
R,1000
A,1400
B,1500
A,800
R,400
A,5000
Q,6000
R,1000
R,800
Q,7000
R,3000
A,800
A,2000
R,400
R,4000
B,4000
A,1000
B,7000
A,1600
Q,8000
R,1000
A,2000
B,20000
R,800
R,1200
B,1000
A,2000
Q,1000
R,1200
Q,3000
B,500
B,5000
B,500
Q,7000
B,1500
R,400
B,10000
Q,8000
A,300
Q,1000
Q,1000
R,2000
R,1200
R,800
B,500
R,800
B,7000
Q,4000
Q,2000
R,3000
A,600
B,10000
A,1000
A,1400
Q,10000
B,4000
R,400
A,5000
A,10000
R,4000
R,1000
Q,9000
Q,3000
Q,4000
B,500
R,2000
A,1600
R,1200
B,20000
Q,3000
B,2000
A,1400
R,5000
R,2000
B,2000
R,2000
B,7000
A,2000
A,5000
B,7000
Q,9000
R,3000
B,500
R,5000
A,1000
B,500
B,5000
Q,2000
R,10000
R,10000
R,1600
Q,2000
R,1200
R,1600
R,10000
B,25000
R,10000
Q,3000
R,10000
B,10000
R,400
Q,2000
R,2000
B,20000
R,400
B,10000
R,800
B,1000
Q,3000
A,800
A,1000
Q,10000
R,10000
R,400
A,1000
Q,2000
B,5000
R,1600
A,400
Q,3000
Q,7000
Q,1000
A,1400
B,25000
Q,4000
R,400
A,1600
R,1600
B,7000
A,600
R,1600
Q,9000
A,1600
B,500
R,2000
Q,10000
B,25000
A,2000
R,1600
A,600
B,10000
A,1600
B,10000
Q,10000
Q,8000
B,7000
B,2000
Q,10000
A,800
B,2000
B,20000
A,1600
R,4000
B,1500
Q,2000
Q,8000
A,1400
R,5000
Q,5000
A,800
A,1400
B,1500
R,1000
Q,1000
Q,9000
Q,10000
B,7000
R,1200
R,800
A,400
B,500
R,2000
Q,6000
A,1000
Q,10000
R,400
B,2000
R,10000
Q,6000
A,400
R,2000
R,5000
R,10000
B,5000
B,20000
R,1200
B,7000
A,10000
R,5000
B,500
Q,4000
R,10000
A,400
Q,10000
R,800
Q,2000
R,4000
Q,4000
Q,8000
B,500
A,300
A,1400
B,25000
R,5000
R,5000
R,4000
B,500
Q,10000
Q,7000
R,1200
B,500
B,4000
A,800
B,7000
R,4000
Q,2000
A,300
B,20000
R,3000
R,3000
B,25000
R,3000
R,1000
R,10000
A,2000
A,800
A,2000
B,1000
A,1400
A,2000
B,2000
B,5000
B,10000
R,1200
A,800
B,500
A,1600
A,800
R,4000
Q,1000
R,1600
Q,5000
R,5000
B,10000
R,400
R,1000
R,400
R,1600
B,25000
B,20000
A,300
Q,7000
B,4000
Q,4000
Q,4000
Q,6000
B,7000
Q,6000
Q,10000
Q,1000
Q,8000
B,20000
A,1400
B,500
Q,9000
Q,7000
Q,10000
R,3000
B,4000
Q,6000
R,800
A,1000
B,5000
A,1600
Q,2000
Q,3000
Q,7000
B,1000
B,500
A,10000
A,5000
A,1000
R,800
R,1000
B,2000
R,2000
Q,4000
R,4000
R,800
R,1600
A,800
Q,7000
B,1500
R,1600
A,10000
B,2000
R,4000
Q,7000
R,2000
A,300
B,1500
A,5000
Q,5000
R,800
B,5000
R,3000
B,2000
A,300
R,800
Q,10000
A,1600
Q,2000
R,5000
Q,8000
B,5000
A,5000
B,5000
B,10000
R,10000
B,4000
Q,4000
R,10000
R,4000
A,1400
B,25000
Q,4000
A,400
B,4000
Q,5000
B,2000
B,1000
R,4000
B,5000
Q,5000
B,7000
Q,10000
A,1000
A,600
A,5000
R,800
Q,4000
B,20000
Q,6000
B,500
R,1200
A,1600
A,1000
R,5000
B,10000
Q,10000
A,600
R,5000
R,400
R,4000
A,2000
R,1000
A,5000
A,800
Q,5000
A,1400
B,500
R,1600
B,25000
R,1200
A,400
A,5000
B,500
R,400
R,10000
A,10000
A,300
Q,8000
A,400
R,1000
A,1000
Q,5000
R,1600
A,1600
R,2000
B,20000
R,1000
Q,3000
R,10000
A,1000
Q,7000
B,10000
A,1000
A,10000
A,800
Q,3000
B,2000
A,10000
Q,5000
B,25000
B,10000
A,10000
R,800
R,2000
Q,1000
Q,4000
B,25000
R,2000
R,4000
B,10000
B,10000
B,4000
R,1200
B,7000
R,800
B,2000
B,500
A,1400
B,2000
Q,10000
R,400
Q,3000
R,5000
Q,6000
R,1200
R,2000
A,2000
B,20000
R,4000
R,3000
A,5000
B,1000
B,20000
A,800
R,1000
B,1500
Q,8000
R,1600
Q,10000
B,25000
R,1600
B,5000
Q,1000
B,1000
Q,9000
R,400
R,1000
A,400
A,2000
Q,6000
B,5000
Q,9000
B,2000
R,400
Q,3000
B,20000
B,25000
A,400
A,5000
A,600
A,1000
A,1000
Q,2000
B,25000
Q,3000
R,10000